               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1      107,0.794     ,1.98      ,2.78      ,0.0714    ,          ,          ,          ,          ,  -7129690
 DSO 2      101,          ,          ,          ,          ,0.607     ,0.567     ,0.528     ,0.0194    ,  -7127072
 DSO 1      108,0.841     ,-2.98     ,2.58      ,0.0456    ,          ,          ,          ,          ,  -7119690
 DSO 2      102,          ,          ,          ,          ,0.290     ,0.706     ,0.786     ,0.0206    ,  -7117072
 DSO 1      109,0.873     ,-0.20     ,1.39      ,0.0357    ,          ,          ,          ,          ,  -7109690
 DSO 2      103,          ,          ,          ,          ,0.329     ,0.290     ,0.448     ,0.0139    ,  -7107072
 DSO 1      110,0.698     ,-0.40     ,2.58      ,0.0556    ,          ,          ,          ,          ,  -7099690
 DSO 2      104,          ,          ,          ,          ,0.448     ,0.151     ,0.548     ,0.0202    ,  -7097072
 DSO 1      111,0.841     ,1.59      ,1.39      ,0.0536    ,          ,          ,          ,          ,  -7089690
 DSO 2      105,          ,          ,          ,          ,0.190     ,-0.087    ,0.508     ,0.0214    ,  -7087072
 DSO 1      112,0.667     ,-0.99     ,2.18      ,0.0556    ,          ,          ,          ,          ,  -7079690
 DSO 2      106,          ,          ,          ,          ,0.290     ,0.091     ,0.369     ,0.0159    ,  -7077072
 DSO 1      113,1.063     ,-1.19     ,4.56      ,0.0992    ,          ,          ,          ,          ,  -7069690
 DSO 2      107,          ,          ,          ,          ,0.429     ,0.667     ,0.706     ,0.0163    ,  -7067072
 DSO 1      114,0.810     ,0.60      ,1.79      ,0.0794    ,          ,          ,          ,          ,  -7059690
 DSO 2      108,          ,          ,          ,          ,0.627     ,0.270     ,1.163     ,0.0183    ,  -7057072
 DSO 1      115,0.794     ,2.58      ,3.77      ,0.0933    ,          ,          ,          ,          ,  -7049690
 DSO 2      109,          ,          ,          ,          ,0.389     ,0.687     ,0.865     ,0.0214    ,  -7047072
 DSO 1      116,0.635     ,0.60      ,2.58      ,0.0536    ,          ,          ,          ,          ,  -7039690
 DSO 2      110,          ,          ,          ,          ,0.448     ,0.706     ,0.865     ,0.0238    ,  -7037072
 DSO 1      117,0.619     ,-0.99     ,2.98      ,0.0635    ,          ,          ,          ,          ,  -7029690
 DSO 2      111,          ,          ,          ,          ,0.151     ,-0.087    ,0.270     ,0.0194    ,  -7027072
 DSO 1      118,0.587     ,0.99      ,4.37      ,0.0675    ,          ,          ,          ,          ,  -7019690
 DSO 2      112,          ,          ,          ,          ,0.369     ,0.270     ,0.607     ,0.0139    ,  -7017072
