               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 2      109,          ,          ,          ,          ,3.18E-02,2.10E-01,4.09E-01,2.30E-02,1148088,
 DSO 1      115,8.41E-01,0,1.587,2.38E-02,          ,          ,          ,          ,1150000,
 DSO 2      110,          ,          ,          ,          ,2.70E-01,1.11E-01,3.69E-01,2.34E-02,1158088,
 DSO 1      116,7.14E-01,1.98E-01,2.579,3.57E-02,          ,          ,          ,          ,1160000,
 DSO 2      111,          ,          ,          ,          ,4.68E-01,5.16E-02,3.69E-01,7.94E-03,1168088,
 DSO 1      117,8.41E-01,1.587,1.389,3.57E-02,          ,          ,          ,          ,1170000,
 DSO 2      112,          ,          ,          ,          ,5.08E-01,1.91E-01,4.88E-01,1.19E-02,1178088,
 DSO 1      118,6.98E-01,-5.95E-01,2.183,3.57E-02,          ,          ,          ,          ,1180000,
 DSO 2      113,          ,          ,          ,          ,2.30E-01,3.49E-01,1.19E-02,1.55E-02,1188088,
 DSO 1      119,1.048,-9.92E-01,4.365,5.95E-02,          ,          ,          ,          ,1190000,
 DSO 2      114,          ,          ,          ,          ,1.11E-01,-4.76E-02,2.90E-01,1.71E-02,1198088,
 DSO 1      120,8.10E-01,5.95E-01,1.786,5.12E-02,          ,          ,          ,          ,1200000,
 DSO 2      115,          ,          ,          ,          ,2.30E-01,-1.27E-01,4.68E-01,1.51E-02,1208088,
 DSO 1      121,7.94E-01,2.976,3.77,5.83E-02,          ,          ,          ,          ,1210000,
 DSO 2      116,          ,          ,          ,          ,-1.07E-01,3.69E-01,3.49E-01,1.71E-02,1218088,
 DSO 1      122,6.51E-01,5.95E-01,2.579,3.33E-02,          ,          ,          ,          ,1220000,
 DSO 2      117,          ,          ,          ,          ,5.87E-01,4.09E-01,2.70E-01,2.22E-02,1228088,
 DSO 1      123,6.03E-01,-7.94E-01,3.175,4.17E-02,          ,          ,          ,          ,1230000,
 DSO 2      118,          ,          ,          ,          ,1.71E-01,3.18E-02,5.08E-01,1.55E-02,1238088,
 DSO 1      124,6.03E-01,1.19,4.167,4.29E-02,          ,          ,          ,          ,1240000,
 DSO 2      119,          ,          ,          ,          ,1.91E-01,4.09E-01,3.69E-01,1.23E-02,1248088,
 DSO 1      125,5.40E-01,-1.984,1.984,2.38E-02,          ,          ,          ,          ,1250000,
 DSO 2      120,          ,          ,          ,          ,7.14E-02,-8.73E-02,5.16E-02,8.33E-03,1258088,
 DSO 1      126,8.10E-01,-2.579,4.563,5.48E-02,          ,          ,          ,          ,1260000,
 DSO 2      121,          ,          ,          ,          ,4.68E-01,4.88E-01,4.09E-01,1.39E-02,1268088,
 DSO 1      127,6.98E-01,4.167,1.786,5.71E-02,          ,          ,          ,          ,1270000,
 DSO 2      122,          ,          ,          ,          ,1.91E-01,5.16E-02,4.48E-01,1.39E-02,1278088,
 DSO 1      128,9.68E-01,5.95E-01,3.968,7.14E-02,          ,          ,          ,          ,1280000,
 DSO 2      123,          ,          ,          ,          ,3.89E-01,1.91E-01,8.25E-01,1.31E-02,1288088,
 DSO 1      129,8.10E-01,1.587,1.389,3.93E-02,          ,          ,          ,          ,1290000,
 DSO 2      124,          ,          ,          ,          ,1.19E-02,1.19E-02,1.91E-01,1.71E-02,1298088,
 DSO 1      130,8.25E-01,9.92E-01,1.984,4.76E-02,          ,          ,          ,          ,1300000,
 DSO 2      125,          ,          ,          ,          ,4.68E-01,1.51E-01,7.86E-01,1.98E-02,1308088,
