				Integrated Y1	Integrated Y2							
				Integrate of B x=(0,7490) Area = -5.63888e+06	Integrate of C x=(0,7490) Area = -397100							
1030	-1190	-595.2	200	-1302562	226183	12889.781508009	-49563.4520942037	-2968.42102102105	76.6127107107113	1174.64529549003	69.0225589950295	62453.2336022126
1035		--		--	--	--	--	-267.623923923879	74.3079179179178	1176.10727363659	49.5288347844463	--
1040	-2183	2976	302.4	-1319427	238087	8594.4874764327	-39911.3882967796	1080.64984984985	72.4949249249249	1177.56925178315	30.0351105738631	48505.8757732123
1045		--		--	--	--	--	837.963563563572	58.7863343343347	1179.03122992971	10.541386363279	--
1050	-1984	1190	302.4	-1340262	258917	329.19344485621	-21333.3244993556	-500.489689689688	1.66589989989998	1180.84514757639	4.16442806416384	21662.5179442118
1055		--		--	--	--	--	-3774.7843843844	25.8234954954956	1183.35035247217	23.55170771164	--
1060	-793.7	0	-2.376	-1354150.5	264867	-989.600586720044	-17635.2607019315	-2944.35775775773	26.9388388388387	1185.85555736795	42.9389873591171	16645.6601152114
1065		--		--	--	--	--	-470.838038038052	27.57927927928	1188.36076226374	62.3262670065933	--
1070	-2976	1190	-2.376	-1372999	270817	-7268.39461829653	-13937.1969045074	-1511.94054054053	82.9108108108101	1190.86596715952	81.7135466540695	6668.80228621088
1075		--		--	--	--	--	-2967.26026026025	55.433683683684	1193.3711720553	101.100826301546	--
1080	-595.2	793.7	182.1	-1390855	280735.5	-12554.6886498728	-6270.63310708339	-2333.86436436437	55.4565365365365	1195.87637695108	120.488105949023	-6284.0555427894
1085		--		--	--	--	--	-948.54834834835	57.981141141141	1198.38158184686	139.875385596499	--
1090	396.8	-2183	302.4	-1391847	273789	-976.982681449037	-15469.0693096593	-1543.32482482483	1.7529089089085	1200.4461496069	145.494674844292	14492.0866282103
1095		--		--	--	--	--	-760.174374374364	34.8360160160165	1201.70653852083	125.986879390039	--
1100	-5159	3571	302.4	-1415658	280729	-12218.2767130255	-10781.0055122352	-837.777777777768	35.3188888888893	1202.96692743476	106.479083935787	-1437.2712007903
