               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 2       79,          ,          ,          ,          ,3.29E-01,-7.94E-03,6.27E-01,9.52E-03,841692
 DSO 1       85,8.89E-01,7.94E-01,-1.19,1.43E-02,          ,          ,          ,          ,850000
 DSO 2       80,          ,          ,          ,          ,9.05E-01,7.26E-01,5.48E-01,1.67E-02,851692
 DSO 1       86,7.46E-01,-3.97E-01,3.97E-01,3.57E-02,          ,          ,          ,          ,860000
 DSO 2       81,          ,          ,          ,          ,9.84E-01,5.87E-01,8.45E-01,2.18E-02,861692
 DSO 1       87,6.51E-01,9.92E-01,1.98E-01,2.86E-02,          ,          ,          ,          ,870000
 DSO 2       82,          ,          ,          ,          ,7.26E-01,3.29E-01,8.65E-01,1.67E-02,871692
 DSO 1       88,4.44E-01,1.98E-01,-2.579,2.86E-02,          ,          ,          ,          ,880000
 DSO 2       83,          ,          ,          ,          ,8.85E-01,5.68E-01,9.84E-01,1.71E-02,881692
 DSO 1       89,5.56E-01,-2.976,2.183,1.79E-02,          ,          ,          ,          ,890000
 DSO 2       84,          ,          ,          ,          ,3.18E-02,-2.26E-01,4.88E-01,1.63E-02,891692
 DSO 1       90,4.13E-01,-2.579,3.97E-01,3.45E-02,          ,          ,          ,          ,900000
 DSO 2       85,          ,          ,          ,          ,3.89E-01,1.11E-01,7.14E-02,1.35E-02,901692
 DSO 1       91,8.57E-01,-3.571,2.381,3.93E-02,          ,          ,          ,          ,910000
 DSO 2       86,          ,          ,          ,          ,5.08E-01,1.91E-01,7.86E-01,1.15E-02,911692
 DSO 1       92,6.98E-01,0,3.77,2.62E-02,          ,          ,          ,          ,920000
 DSO 2       87,          ,          ,          ,          ,3.69E-01,1.91E-01,3.49E-01,1.51E-02,921692
 DSO 1       93,8.25E-01,9.92E-01,-1.786,3.45E-02,          ,          ,          ,          ,930000
 DSO 2       88,          ,          ,          ,          ,8.45E-01,5.28E-01,6.07E-01,2.18E-02,931692
 DSO 1       94,5.08E-01,-1.786,1.587,2.14E-02,          ,          ,          ,          ,940000
 DSO 2       89,          ,          ,          ,          ,7.66E-01,2.50E-01,6.87E-01,2.22E-02,941692
 DSO 1       95,5.08E-01,0,-7.94E-01,4.17E-02,          ,          ,          ,          ,950000
 DSO 2       90,          ,          ,          ,          ,3.69E-01,4.29E-01,9.05E-01,1.87E-02,951692
 DSO 1       96,7.94E-01,2.381,-3.97E-01,4.17E-02,          ,          ,          ,          ,960000
 DSO 2       91,          ,          ,          ,          ,6.27E-01,5.08E-01,5.48E-01,1.75E-02,961692
 DSO 1       97,9.52E-02,-1.389,-3.373,3.69E-02,          ,          ,          ,          ,970000
 DSO 2       92,          ,          ,          ,          ,2.90E-01,6.87E-01,8.06E-01,1.91E-02,971692
 DSO 1       98,5.24E-01,-7.94E-01,1.786,3.33E-02,          ,          ,          ,          ,980000
 DSO 2       93,          ,          ,          ,          ,2.90E-01,2.50E-01,4.29E-01,1.27E-02,981692
 DSO 1       99,5.40E-01,-4.96,1.19,2.98E-02,          ,          ,          ,          ,990000
 DSO 2       94,          ,          ,          ,          ,4.29E-01,7.14E-02,5.68E-01,2.06E-02,991692
 DSO 1      100,6.19E-01,2.183,1.786,2.74E-02,          ,          ,          ,          ,1000000
 DSO 2       95,          ,          ,          ,          ,1.91E-01,-1.67E-01,5.08E-01,1.94E-02,1001692
 DSO 1      101,4.29E-01,9.92E-01,-7.94E-01,4.41E-02,          ,          ,          ,          ,1010000
 DSO 2       96,          ,          ,          ,          ,2.90E-01,7.14E-02,3.89E-01,1.51E-02,1011692
 DSO 1      102,7.30E-01,-5.95E-01,7.94E-01,3.21E-02,          ,          ,          ,          ,1020000
 DSO 2       97,          ,          ,          ,          ,4.09E-01,6.47E-01,7.06E-01,1.63E-02,1021692
 DSO 1      103,5.56E-01,-9.92E-01,-1.984,3.21E-02,          ,          ,          ,          ,1030000
 DSO 2       98,          ,          ,          ,          ,6.27E-01,2.10E-01,1.143,1.67E-02,1031692
 DSO 1      104,5.08E-01,7.94E-01,-7.94E-01,4.52E-02,          ,          ,          ,          ,1040000
 DSO 2       99,          ,          ,          ,          ,3.49E-01,6.47E-01,8.85E-01,2.02E-02,1041692
 DSO 1      105,6.03E-01,-5.95E-01,-1.19,4.64E-02,          ,          ,          ,          ,1050000
 DSO 2      100,          ,          ,          ,          ,4.68E-01,6.07E-01,8.45E-01,2.26E-02,1051692
 DSO 1      106,4.44E-01,-3.175,4.563,4.52E-02,          ,          ,          ,          ,1060000
 DSO 2      101,          ,          ,          ,          ,1.71E-01,-1.47E-01,2.70E-01,1.91E-02,1061692
 DSO 1      107,6.03E-01,-5.159,1.98E-01,2.74E-02,          ,          ,          ,          ,1070000
 DSO 2      102,          ,          ,          ,          ,3.89E-01,2.30E-01,6.27E-01,1.27E-02,1071692
 DSO 1      108,5.87E-01,-3.97E-01,4.167,3.93E-02,          ,          ,          ,          ,1080000
 DSO 2      103,          ,          ,          ,          ,2.50E-01,1.51E-01,3.89E-01,1.63E-02,1081692
 DSO 1      109,4.60E-01,-9.92E-01,2.976,2.62E-02,          ,          ,          ,          ,1090000
 DSO 2      104,          ,          ,          ,          ,4.09E-01,-6.75E-02,3.29E-01,2.14E-02,1091692
 DSO 1      110,4.60E-01,-2.381,-1.389,4.52E-02,          ,          ,          ,          ,1100000
 DSO 2      105,          ,          ,          ,          ,4.68E-01,2.50E-01,8.65E-01,1.79E-02,1101692
 DSO 1      111,7.14E-01,0,-1.19,3.81E-02,          ,          ,          ,          ,1110000
 DSO 2      106,          ,          ,          ,          ,6.87E-01,3.49E-01,7.46E-01,1.23E-02,1111692
 DSO 1      112,7.30E-01,-1.587,-1.786,2.86E-02,          ,          ,          ,          ,1120000
 DSO 2      107,          ,          ,          ,          ,6.07E-01,4.88E-01,7.06E-01,1.71E-02,1121692
 DSO 1      113,6.98E-01,-1.19,-2.976,4.05E-02,          ,          ,          ,          ,1130000
 DSO 2      108,          ,          ,          ,          ,8.06E-01,5.48E-01,7.26E-01,2.42E-02,1131692
 DSO 1      114,4.29E-01,-7.94E-01,1.19,3.33E-02,          ,          ,          ,          ,1140000
 DSO 2      109,          ,          ,          ,          ,4.29E-01,-7.94E-03,4.68E-01,1.63E-02,1141692
 DSO 1      115,5.71E-01,-4.96,1.19,3.45E-02,          ,          ,          ,          ,1150000
 DSO 2      110,          ,          ,          ,          ,7.14E-02,1.71E-01,3.10E-01,2.02E-02,1151692
 DSO 1      116,6.83E-01,-1.98E-01,3.77,4.29E-02,          ,          ,          ,          ,1160000
 DSO 2      111,          ,          ,          ,          ,3.10E-01,-7.94E-03,4.48E-01,1.91E-02,1161692
 DSO 1      117,5.56E-01,-1.389,1.389,2.74E-02,          ,          ,          ,          ,1170000
 DSO 2      112,          ,          ,          ,          ,1.11E-01,1.71E-01,4.29E-01,1.47E-02,1171692
 DSO 1      118,5.08E-01,9.92E-01,-9.92E-01,2.38E-02,          ,          ,          ,          ,1180000
 DSO 2      113,          ,          ,          ,          ,8.06E-01,5.28E-01,6.67E-01,2.62E-02,1181692
